trial_code;hospital_id
NCT04529772;385b9a3c
NCT04529772;23f66672
NCT04543617;9fa51bc2
NCT04543617;5f52659f
NCT04543617;47c37117
NCT04543617;269c52bb
NCT04543617;c26bf648
NCT04543617;2f22ffa4
NCT04543617;2b15bf07
NCT04543617;ceaf5cc4
NCT04543617;2a030efb
NCT04543617;f16e000e
NCT04543617;5c31aa5b
NCT04543617;5b454c2a
NCT04557059;c8bb9f11
NCT04564417;3c4daa8c
NCT04564417;da44b86c
NCT04578106;145782b2
NCT04580121;194f8ead
NCT04580121;f20b0e6d
NCT04580121;40dfd9b5
NCT04589845;ac317423
NCT04589845;a0d6ebe1
NCT04589845;395fe7c6
NCT04589845;d79b223b
NCT04589845;bce223b0
NCT04589845;4ef54e17
NCT04589845;d33175aa
NCT04590963;25ec0c89
NCT04595994;1fc656ee
NCT04595994;f3c6ab23
NCT04595994;8,79E+85
NCT04595994;0ca41679
NCT04619797;2,83E+178
NCT04619797;9c6c2184
NCT04619797;01520f2c
NCT04619797;a1262846
NCT04619797;d5c28438
NCT04619797;dc60f355
NCT04041050;b3c24f92
NCT04041050;e9c5c305
NCT04041050;fd68e1d5
NCT04208178;08eb075d
